Date,USD
2014-09-17,1236
2014-09-18,1220.5
2014-09-19,1219.8
2014-09-22,1213.5
2014-09-23,1222
2014-09-24,1217.3
2014-09-25,1213.8
2014-09-26,1213.8
2014-09-29,1219.5
2014-09-30,1216.5
2014-10-01,1216.5
2014-10-02,1211.8
2014-10-03,1195
2014-10-06,1195.8
2014-10-07,1210.5
2014-10-08,1217
2014-10-09,1226.8
2014-10-10,1219
2014-10-13,1229
2014-10-14,1234.8
2014-10-15,1237.5
2014-10-16,1237.8
2014-10-17,1234.3
2014-10-20,1244.5
2014-10-21,1250.3
2014-10-22,1243.8
2014-10-23,1232.8
2014-10-24,1232.8
2014-10-27,1228.8
2014-10-28,1229.3
2014-10-29,1223.5
2014-10-30,1202
2014-10-31,1164.3
2014-11-03,1167.8
2014-11-04,1166.5
2014-11-05,1142
2014-11-06,1145
2014-11-07,1154.5
2014-11-10,1162
2014-11-11,1156.5
2014-11-12,1164.5
2014-11-13,1161.8
2014-11-14,1169
2014-11-17,1182.5
2014-11-18,1192.8
2014-11-19,1196
2014-11-20,1190
2014-11-21,1203.8
2014-11-24,1197.5
2014-11-25,1199
2014-11-26,1197.5
2014-11-27,1194.8
2014-11-28,1182.8
2014-12-01,1194
2014-12-02,1195
2014-12-03,1204.8
2014-12-04,1209
2014-12-05,1194
2014-12-08,1193
2014-12-09,1227
2014-12-10,1229
2014-12-11,1216.3
2014-12-12,1217
2014-12-15,1209.3
2014-12-16,1202.5
2014-12-17,1195.8
2014-12-18,1199
2014-12-19,1195.5
2014-12-22,1195.3
2014-12-23,1175.8
2014-12-24,1175.8
2014-12-25,1175.8
2014-12-26,1175.8
2014-12-29,1185.5
2014-12-30,1206
2014-12-31,1206
2015-01-01,1206
2015-01-02,1172
2015-01-05,1200
2015-01-06,1210.3
2015-01-07,1210.5
2015-01-08,1215.5
2015-01-09,1217.8
2015-01-12,1226.5
2015-01-13,1231.5
2015-01-14,1235
2015-01-15,1259
2015-01-16,1277.5
2015-01-19,1273.8
2015-01-20,1288.8
2015-01-21,1293.5
2015-01-22,1295.8
2015-01-23,1294.8
2015-01-26,1281.3
2015-01-27,1288.5
2015-01-28,1288
2015-01-29,1268.8
2015-01-30,1260.3
2015-02-02,1272.5
2015-02-03,1264.3
2015-02-04,1268.5
2015-02-05,1259.3
2015-02-06,1241
2015-02-09,1238.5
2015-02-10,1234.5
2015-02-11,1223.8
2015-02-12,1222.5
2015-02-13,1232.5
2015-02-16,1229.3
2015-02-17,1209.5
2015-02-18,1206
2015-02-19,1209.5
2015-02-20,1208.3
2015-02-23,1204.5
2015-02-24,1192.5
2015-02-25,1204.8
2015-02-26,1208.3
2015-02-27,1214
2015-03-02,1212.5
2015-03-03,1212.8
2015-03-04,1199.5
2015-03-05,1202
2015-03-06,1175.8
2015-03-09,1168.5
2015-03-10,1162
2015-03-11,1150
2015-03-12,1152.3
2015-03-13,1152
2015-03-16,1150.8
2015-03-17,1150.8
2015-03-18,1147.3
2015-03-19,1166
2015-03-20,1183.1
2015-03-23,1186.3
2015-03-24,1191.5
2015-03-25,1195.6
2015-03-26,1203.2
2015-03-27,1195.8
2015-03-30,1185.5
2015-03-31,1187
2015-04-01,1197
2015-04-02,1198.5
2015-04-03,1198.5
2015-04-06,1198.5
2015-04-07,1211
2015-04-08,1207.3
2015-04-09,1194.8
2015-04-10,1207.4
2015-04-13,1198.9
2015-04-14,1194.8
2015-04-15,1192.9
2015-04-16,1204.4
2015-04-17,1203.4
2015-04-20,1196.5
2015-04-21,1195.3
2015-04-22,1189.3
2015-04-23,1185.8
2015-04-24,1183
2015-04-27,1200
2015-04-28,1209
2015-04-29,1209
2015-04-30,1180.3
2015-05-01,1176
2015-05-04,1176
2015-05-05,1197
2015-05-06,1194.3
2015-05-07,1187
2015-05-08,1186
2015-05-11,1189.3
2015-05-12,1191.5
2015-05-13,1210.5
2015-05-14,1225
2015-05-15,1220.5
2015-05-18,1223.5
2015-05-19,1214.3
2015-05-20,1210.5
2015-05-21,1205
2015-05-22,1204.1
2015-05-25,1204.1
2015-05-26,1185.4
2015-05-27,1185.9
2015-05-28,1185
2015-05-29,1191.4
2015-06-01,1199.9
2015-06-02,1192.8
2015-06-03,1190
2015-06-04,1176
2015-06-05,1164.6
2015-06-08,1172.8
2015-06-09,1177.4
2015-06-10,1188.5
2015-06-11,1178.5
2015-06-12,1182.8
2015-06-15,1181.4
2015-06-16,1177.8
2015-06-17,1178
2015-06-18,1201.9
2015-06-19,1203.4
2015-06-22,1185.5
2015-06-23,1178
2015-06-24,1173.8
2015-06-25,1172.7
2015-06-26,1170.5
2015-06-29,1176
2015-06-30,1171
2015-07-01,1168
2015-07-02,1165.3
2015-07-03,1168
2015-07-06,1166
2015-07-07,1156.3
2015-07-08,1158.5
2015-07-09,1164.3
2015-07-10,1159.3
2015-07-13,1154
2015-07-14,1157.4
2015-07-15,1147.4
2015-07-16,1144.4
2015-07-17,1132.8
2015-07-20,1104.6
2015-07-21,1105.6
2015-07-22,1088.6
2015-07-23,1097.4
2015-07-24,1080.8
2015-07-27,1100
2015-07-28,1096.2
2015-07-29,1090.3
2015-07-30,1087.5
2015-07-31,1098.4
2015-08-03,1091.9
2015-08-04,1090.7
2015-08-05,1085.1
2015-08-06,1089.8
2015-08-07,1093.5
2015-08-10,1097
2015-08-11,1108.3
2015-08-12,1119
2015-08-13,1116.8
2015-08-14,1118.3
2015-08-17,1118.8
2015-08-18,1111.5
2015-08-19,1126.2
2015-08-20,1147.7
2015-08-21,1156.5
2015-08-24,1166.5
2015-08-25,1137.5
2015-08-26,1120.8
2015-08-27,1119
2015-08-28,1135
2015-08-31,1135
2015-09-01,1142.3
2015-09-02,1137.8
2015-09-03,1128
2015-09-04,1118.3
2015-09-07,1119.5
2015-09-08,1121.2
2015-09-09,1109.9
2015-09-10,1109.5
2015-09-11,1100.3
2015-09-14,1104.8
2015-09-15,1106
2015-09-16,1117.6
2015-09-17,1117.5
2015-09-18,1141.5
2015-09-21,1133.3
2015-09-22,1122.9
2015-09-23,1131.4
2015-09-24,1154.5
2015-09-25,1146.7
2015-09-28,1131.1
2015-09-29,1132.1
2015-09-30,1114
2015-10-01,1119
2015-10-02,1140.8
2015-10-05,1139.8
2015-10-06,1147.5
2015-10-07,1144.6
2015-10-08,1140
2015-10-09,1151.6
2015-10-12,1164.9
2015-10-13,1165.2
2015-10-14,1173.9
2015-10-15,1184.3
2015-10-16,1180.9
2015-10-19,1175.4
2015-10-20,1177.8
2015-10-21,1167.1
2015-10-22,1167
2015-10-23,1161.3
2015-10-26,1166.4
2015-10-27,1165.7
2015-10-28,1179.6
2015-10-29,1148.6
2015-10-30,1142.4
2015-11-02,1134
2015-11-03,1123.1
2015-11-04,1114.7
2015-11-05,1106.3
2015-11-06,1088.9
2015-11-09,1089.6
2015-11-10,1087.1
2015-11-11,1085.9
2015-11-12,1087.4
2015-11-13,1081.5
2015-11-16,1084.8
2015-11-17,1079.2
2015-11-18,1067.8
2015-11-19,1082.6
2015-11-20,1081.8
2015-11-23,1070.5
2015-11-24,1076.4
2015-11-25,1068
2015-11-26,1071
2015-11-27,1057.4
2015-11-30,1061.9
2015-12-01,1065.4
2015-12-02,1055.4
2015-12-03,1055.5
2015-12-04,1079.3
2015-12-07,1075.8
2015-12-08,1072.1
2015-12-09,1081
2015-12-10,1071
2015-12-11,1072.5
2015-12-14,1068.3
2015-12-15,1061.5
2015-12-16,1075.3
2015-12-17,1049.4
2015-12-18,1062.5
2015-12-21,1078.8
2015-12-22,1074.9
2015-12-23,1068.3
2015-12-24,1068.3
2015-12-25,1068.3
2015-12-28,1068.3
2015-12-29,1070.1
2015-12-30,1060
2015-12-31,1060
2016-01-01,1060
2016-01-04,1082.3
2016-01-05,1077
2016-01-06,1091.4
2016-01-07,1106.4
2016-01-08,1101.9
2016-01-11,1100.8
2016-01-12,1085.4
2016-01-13,1088.2
2016-01-14,1088.4
2016-01-15,1093.8
2016-01-18,1089.2
2016-01-19,1086.3
2016-01-20,1101.8
2016-01-21,1096.5
2016-01-22,1096.3
2016-01-25,1106.6
2016-01-26,1113.6
2016-01-27,1116.3
2016-01-28,1114
2016-01-29,1111.8
2016-02-01,1126.5
2016-02-02,1128.5
2016-02-03,1132
2016-02-04,1156.4
2016-02-05,1150.4
2016-02-08,1193.3
2016-02-09,1191
2016-02-10,1190
2016-02-11,1241
2016-02-12,1239.8
2016-02-15,1208.2
2016-02-16,1209.5
2016-02-17,1210
2016-02-18,1210.1
2016-02-19,1231.2
2016-02-22,1211
2016-02-23,1221.4
2016-02-24,1250.8
2016-02-25,1236
2016-02-26,1226.5
2016-02-29,1234.9
2016-03-01,1236.5
2016-03-02,1239.2
2016-03-03,1250.3
2016-03-04,1277.5
2016-03-07,1267.9
2016-03-08,1267
2016-03-09,1246.4
2016-03-10,1266.5
2016-03-11,1264.8
2016-03-14,1242.8
2016-03-15,1232
2016-03-16,1228.5
2016-03-17,1266.5
2016-03-18,1252.1
2016-03-21,1244.9
